ContactID,OrganizationName,Website
5,University of Colorado at Boulder,http://colorado.edu
9,AudioPixel,http://audiopixel.com
23,Ball,http://ball.com
43,Epilog Laser,http://epiloglaser.com
51,Barnes & Noble,https://stores.barnesandnoble.com/store/2718
60,Canuck Engineering,http://canuckengineering.com
84,Wampawear,https://www.wampawear.com/
104,Fractiles,http://fractiles.com
106,Red Rocks Product Development,http://redrockspd.com
120,MindCraft Makerspace,http://www.mindcraftmakerspace.com
122,Dawson School,https://www.dawsonschool.org
128,Deep Space,http://deepspace.me
132,Colorado WaterJet Company,http://coloradowaterjet.com
162,CB-Crochet LLC,http://cb-crochet.com
192,Inspectorbots,http://www.inspectorbots.com
203,Colorado Department of Education,http://cde.state.co.us
216,Brackitz,https://brackitz.com/
237,Tactile-Ideas,http://www.tactile-ideas.com
269,Far Horizon Art,http://farhorizonart.com
280,Denver Area Small Scale Steamers,http://www.dasss.club/
290,DaVinci Institute,http://davinciinstitute.com
310,Jefferson County,https://www.jeffco.us/
314,Trinidad State Junior College,http://trinidadstate.edu
323,NIST,https://www.nist.gov/director/pao/nist-boulder-laboratories-precision-measurements-support-innovation
326,niolabs,http://n.io
329,Victor Guitar,https://www.victorguitar.com/
331,Zerrecon,http://zerrecon.com
422,Stuff'n Mallows,http://stuffnmallows.com
429,Loveland CreatorSpace,https://lovelandcreatorspace.com/
431,Clear Creek County Library,http://www2.youseemore.com/clearcreeklibrary/directory.asp
445,BLDG 61:  Boulder Library Makerspace,https://boulderlibrary.org/bldg61/
454,Omni Maker,http://omnimaker.com
476,Donek Custom Snowboards,http://donek.com
493,"Autodesk, Inc",https://www.autodesk.com/
522,Boulder Engineering Studio,http://BoulderES.com
534,Geekify Inc,http://geekifyinc.com
602,The 3D Printing Store,https://www.the3dprintingstore.com
624,Decibullz,http://decibullz.com
629,D&U Leather Mugs,http://duleathermugs.com
679,Who Gives a SCRAP - Creative Reuse Center,https://www.whogivesascrapcolorado.com/
754,M Fisher Studio,https://www.facebook.com/M-Fisher-Studio-1385219234839250/
768,EUREKUS - STEAM & Maker Discovery!,http://www.eurekus.org/
781,Dirty Hands Fabrication,
797,Papaya Badger's Pins & Needles Art,http://www.papayabadger.com
799,This Homeschool Life,http://www.makesyouthinkblog.com/
817,Paulo Silva Art & Design,http://paulosilvaart.com
836,A Monster to Love,http://amonstertolove.com
842,Art Together,http://art-together.weebly.com
857,The Inventor Lady,http://www.inventorlady.com
871,Golden Downtown Development Authority,https://www.cityofgolden.net/
888,Sparky's Widgets,http://sparkyswidgets.com
893,Revive Gifts,https://www.etsy.com/shop/ReviveGifts
908,SHARC,https://www.meetup.com/SHARC-Greater-Denver-Area-Robotics-Club/
912,TinkerMill,http://www.tinkermill.org
916,Cheap Science,http://cheapscience.com
930,Mines Maker Society (Colorado School of Mines),http://mines.orgsync.com/show_profile/120812-maker-society
943,Arts Street,http://arts-street.org
987,Denver Jewish Day School,http://denverjds.org
1046,Science Playhouse,http://scienceplayhouse.com
1051,Wood's High Mountain Distillery,http://Woodsdistillery.com
1155,SparkFun Electronics,https://www.sparkfun.com/
1159,Grand Junction Makerspace,http://www.gjmakerspace.org
1162,SolderWorks,https://www.solderworks.com/
1179,Colorado Maker Hub,http://coloradomakerhub.com
5653,Innovation Pavilion (Centennial),http://www.innovationpavilion.com/centennial/
5654,Thompson Education Foundation,https://thompsontef.org
5658,Altitude Spirits,http://altitudespirits.com
5661,Cherry Creek Innovation Campus (CCIC),http://ccic.cherrycreekschools.org/
5662,IDEA Institute (Red Rocks Community College),https://www.rrcc.edu/idea-institute
5663,Otter Products,http://otterproducts.com
5664,Kitables,https://kitables.co
5666,Colorado FIRST,http://coloradofirst.org
5668,Trimble,https://www.sketchup.com/
5669,CDC,http://cdc.gov
5670,LASP (University of Colorado),http://lasp.colorado.edu
5672,Clear Blue Engineering,http://clearblueengineering.com/
5677,LulzBot,http://lulzbot.com
5693,Our Community News (OCN),http://ocn.me/
5695,Southwinds Fine Art Gallery,http://www.southwindsfineart.com
5697,Gallery 132,https://gallery132.com/
5699,Palmer Lake Art Group,Http://www.palmerlakeartgroup.com
5700,Palmer Lake Art Group,Http://palmerlakeartgroup.com
5702,Tri-Lakes Monument Radio Association,Http://www.W0TLM.com
5705,Town of Monument,http://townofmonument.org
5710,EXDO Events,http://exdoevents.com
5712,"Old Elk Distilleries, LLC",http://oldelk.com
5716,Pushing Water,http://pushingwater.com
5718,Osprey Packs Inc,http://ospreypacks.com
5721,Bitsbox,https://bitsbox.com/
5722,Bits of Life,http://bitsoflife.net
5723,"Biz Girls, Inc",http://bizgirls.org
5725,Thompson School District,https://www.thompsonschools.org/
5726,Farm Tub,http://farmtub.com
5727,Bot Thoughts,http://bot-thoughts.com
5728,Boulder Teahouse,http://boulderteahouse.com/
5729,Ideas For Growth,http://ideasforgrowth.com
5730,Geotech Environmental,http://geotechenv.com
5731,Metro Denver Economic Development Corporation,http://metrodenver.org
5732,Newaya Recycling,http://newaya.com
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
